timestamp,phase_error_ns,freq_error,dac_setting,tfom,osc_temp,cpu_temp,board_temp,response_time_sec,note
2026-09-14T18:57:02.753819+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005245,0.157108,11,False,enemy_reference_status_query_0_action_0.162147s,time status
2026-09-14T18:57:03.673333+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00525,0.15701,11,False,enemy_reference_status_query_1_action_0.162114s,time status
2026-09-14T18:57:04.593440+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005241,0.157007,11,False,enemy_reference_status_query_2_action_0.162089s,time status
2026-09-14T18:57:05.513263+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005277,0.157118,11,False,enemy_reference_status_query_3_action_0.162139s,time status
2026-09-14T18:57:06.433487+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005238,0.157084,11,False,enemy_reference_status_query_4_action_0.162146s,time status
2026-09-14T18:57:07.358775+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00525,0.157071,11,False,enemy_reference_status_query_5_action_0.167215s,time status
2026-09-14T18:57:08.278567+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005229,0.157013,11,False,enemy_reference_status_query_6_action_0.162106s,time status
2026-09-14T18:57:09.198745+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005248,0.157012,11,False,enemy_reference_status_query_7_action_0.162183s,time status
2026-09-14T18:57:13.071945+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005236,0.157299,11,False,enemy_high_frequency_ntp_status_queries_0_action_0.111488s,time status
2026-09-14T18:57:13.941718+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005235,0.157086,11,False,enemy_high_frequency_ntp_status_queries_1_action_0.111638s,time status
2026-09-14T18:57:14.811280+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005203,0.157044,11,False,enemy_high_frequency_ntp_status_queries_2_action_0.111499s,time status
2026-09-14T18:57:15.690755+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005233,0.157024,11,False,enemy_high_frequency_ntp_status_queries_3_action_0.121657s,time status
2026-09-14T18:57:16.570449+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00523,0.157048,11,False,enemy_high_frequency_ntp_status_queries_4_action_0.121653s,time status
2026-09-14T18:57:17.440211+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005242,0.157127,11,False,enemy_high_frequency_ntp_status_queries_5_action_0.111622s,time status
2026-09-14T18:57:18.315049+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005296,0.157173,11,False,enemy_high_frequency_ntp_status_queries_6_action_0.116844s,time status
2026-09-14T18:57:19.184476+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005237,0.157018,11,False,enemy_high_frequency_ntp_status_queries_7_action_0.111500s,time status
2026-09-14T18:57:22.945334+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00523,0.157079,11,False,recovery_0,time status
2026-09-14T18:57:24.103794+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005238,0.157054,11,False,recovery_1,time status
2026-09-14T18:57:25.262151+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005239,0.157016,11,False,recovery_2,time status
2026-09-14T18:57:26.420564+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005234,0.157052,11,False,recovery_3,time status
2026-09-14T18:57:27.578969+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005222,0.157079,11,False,recovery_4,time status
2026-09-14T18:57:28.737385+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005242,0.15708,11,False,recovery_5,time status
2026-09-14T18:57:29.895743+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005254,0.157018,11,False,recovery_6,time status
2026-09-14T18:57:31.054077+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005242,0.156982,11,False,recovery_7,time status
2026-09-14T18:57:32.211941+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00524,0.157017,11,False,recovery_8,time status
2026-09-14T18:57:33.370436+00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005242,0.157157,11,False,recovery_9,time status
